Pantone,L*,a*,b*,DC21-001 Extender,DC21-101 Bright Red,DC21-102 Rubine,DC21-114 Rhodamine,DC21-201 Orange,DC21-304 Yellow,DC21-402 Green,DC21-501 Process Blue,DC21-604 Violet,DC21-802 Black
PANTONE 100 C,92.14,-7.54,63.47,79.12,0,0,0,0,20.88,0,0,0,0
PANTONE 101 C,91.85,-7.58,72.43,72.42,0,0,0,0,27.58,0,0,0,0
PANTONE 102 C,90.33,-5.11,106.02,19.79,0,0,0,0,80.21,0,0,0,0
PANTONE 103 C,70.24,0.28,83.63,3.94,0,0,0,1.35,90.38,0,0,0,4.33
PANTONE 104 C,63.61,-0.38,69.88,21.83,0,0,0,1.29,69.6,0,0,0,7.28
PANTONE 105 C,51.62,-0.76,44.36,41.86,0,0,0,0.62,42.01,0,0,0,15.51
PANTONE 106 C,90.68,-4.12,72.08,72.02,0,0,0,0.6,27.38,0,0,0,0
PANTONE 107 C,89.84,-2.51,81.73,62.31,0,0,0,0.91,36.78,0,0,0,0
PANTONE 108 C,88.44,0.52,93.12,46.23,0,0,0,1.55,52.22,0,0,0,0
PANTONE 109 C,86.31,6.01,97.69,34.89,0,0,0,3.08,62.03,0,0,0,0
PANTONE 110 C,72.47,9.29,88.25,9.23,0,0,0,5.96,82.12,0,0,0,2.69
PANTONE 111 C,59.26,4.61,67.75,12.92,0,0,0,5.02,73.42,0,0,0,8.64
PANTONE 112 C,56.23,2.41,56.35,32.52,0,0,0,3.71,52.69,0,0,0,11.08
PANTONE 113 C,89.84,-1.41,66.66,75.75,0,0,0,1.23,23.02,0,0,0,0
PANTONE 114 C,89.15,-0.06,73.42,69.97,0,0,0,1.56,28.47,0,0,0,0
PANTONE 115 C,88.27,1.62,80.24,62.79,0,0,0,1.99,35.22,0,0,0,0
PANTONE 116 C,85.48,8.35,87.98,51.12,0,0,0,4.15,44.73,0,0,0,0
PANTONE 117 C,65.84,12.07,78.31,16.34,0,0,0,9.75,69.33,0,0,0,4.58
PANTONE 118 C,58.01,8.96,65.87,18.89,0,0,0,9.42,63.09,0,0,0,8.6
PANTONE 119 C,49.8,2.35,44.64,38.74,0,0,0,3.87,41.29,0,0,0,16.1
PANTONE 120 C,88.63,2.63,57.4,81.35,0,0,0,2.22,16.43,0,0,0,0
PANTONE 1205 C,89.82,1.84,39.93,90.4,0,0,0,1.71,7.89,0,0,0,0
PANTONE 121 C,87.89,4.23,63.1,77.29,0,0,0,2.75,19.96,0,0,0,0
PANTONE 1215 C,88.01,4.95,51.78,84.36,0,0,0,2.84,12.8,0,0,0,0
PANTONE 122 C,86.47,7.06,70.51,70.93,0,0,0,3.77,25.3,0,0,0,0
PANTONE 1225 C,84.34,12.33,67.69,71.27,0.42,0,0,5.12,23.19,0,0,0,0
PANTONE 123 C,84.08,12.73,75.74,63.84,0.26,0,0,5.58,30.32,0,0,0,0
PANTONE 1235 C,80.71,20.56,77.19,58.06,1.08,0,0,8.19,32.67,0,0,0,0
PANTONE 124 C,74.7,16.57,79.5,38.65,0,0,0,6.24,52.97,0,0,2.14,0
PANTONE 1245 C,64.72,13.89,64.49,46.21,0,0,0,12.44,36.44,0,0,0,4.91
PANTONE 125 C,59.22,13.01,65.02,30.23,0,0,0,13.38,49,0,0,0,7.39
PANTONE 1255 C,58.25,9.86,55.17,44.89,0,0,0,10.71,35.79,0,0,0,8.61
PANTONE 126 C,52.3,8.77,54.07,30.76,0,0,0,11.03,45.86,0,0,0,12.35
PANTONE 1265 C,47.43,6.85,41.41,41.82,0,0,0,9.59,31.54,0,0,0,17.05
PANTONE 127 C,88.43,-0.75,53.84,81.95,1.08,0,0,0,16.97,0,0,0,0
PANTONE 128 C,86.32,1.96,65.17,72.44,1.67,0,0,0,25.89,0,0,0,0
PANTONE 129 C,84.99,3.9,69.37,67.22,1.53,0.26,0,0,30.99,0,0,0,0
