base,substrate,conc_pct,L,a,b
Black Substrate,black,0.0,8.9,-0.1,0.7
DC21-002,black,100.0,8.4,-0.1,1.1
DC21-002,white,100.0,93.4,-0.6,0.7
DC21-101,black,0.5,8.8,0.1,1.0
DC21-101,black,1.0,8.7,0.3,1.3
DC21-101,black,2.0,9.1,0.8,1.0
DC21-101,black,4.0,8.9,1.7,2.5
DC21-101,black,8.0,9.5,3.8,4.4
DC21-101,black,16.0,10.6,7.2,7.4
DC21-101,black,32.0,13.0,13.2,13.0
DC21-101,black,64.0,16.5,20.7,20.7
DC21-101,black,80.0,17.9,23.5,23.7
DC21-101,black,100.0,18.0,23.6,23.6
DC21-101,white,0.5,91.7,2.4,0.7
DC21-101,white,1.0,90.0,5.0,0.7
DC21-101,white,2.0,87.4,9.3,1.7
DC21-101,white,4.0,83.2,16.4,1.8
DC21-101,white,8.0,76.7,27.2,4.1
DC21-101,white,16.0,68.7,41.1,8.6
DC21-101,white,32.0,59.9,56.7,16.8
DC21-101,white,64.0,51.0,71.5,35.0
DC21-101,white,80.0,48.9,74.0,43.6
DC21-101,white,100.0,47.4,75.0,51.4
DC21-110,black,0.5,8.6,0.0,1.2
DC21-110,black,1.0,8.6,0.1,1.4
DC21-110,black,2.0,8.8,0.4,1.4
DC21-110,black,4.0,8.8,0.9,1.9
DC21-110,black,8.0,9.1,1.7,3.2
DC21-110,black,16.0,9.2,2.8,5.1
DC21-110,black,32.0,9.6,4.6,7.1
DC21-110,black,64.0,9.6,7.3,9.6
DC21-110,black,80.0,8.9,8.6,9.8
DC21-110,black,100.0,8.5,10.5,9.9
DC21-110,white,0.5,91.0,5.3,0.0
DC21-110,white,1.0,89.2,9.8,-0.5
DC21-110,white,2.0,86.4,16.5,-0.7
DC21-110,white,4.0,82.1,26.5,0.0
DC21-110,white,8.0,76.4,38.6,2.7
DC21-110,white,16.0,69.9,51.7,8.6
DC21-110,white,32.0,63.9,62.6,18.2
DC21-110,white,64.0,57.2,69.8,41.3
DC21-110,white,80.0,55.9,70.6,49.0
DC21-110,white,100.0,54.2,71.1,59.3
DC21-114,black,0.5,9.1,0.0,0.3
DC21-114,black,1.0,8.7,0.2,0.5
DC21-114,black,2.0,8.5,0.5,0.8
DC21-114,black,4.0,8.7,1.2,0.0
DC21-114,black,8.0,8.1,2.3,0.0
DC21-114,black,16.0,8.0,4.1,-1.4
DC21-114,black,32.0,6.9,7.7,-3.0
DC21-114,black,64.0,5.9,10.4,-4.5
DC21-114,black,80.0,5.6,10.9,-5.0
DC21-114,black,100.0,5.4,10.8,-5.3
DC21-114,white,0.5,91.7,2.5,-0.8
DC21-114,white,1.0,90.4,5.4,-2.5
DC21-114,white,2.0,88.1,10.1,-4.8
DC21-114,white,4.0,83.9,18.4,-8.8
DC21-114,white,8.0,78.7,28.5,-13.2
DC21-114,white,16.0,71.9,41.8,-17.5
DC21-114,white,32.0,61.8,58.7,-21.4
DC21-114,white,64.0,52.5,72.2,-22.4
DC21-114,white,80.0,49.4,75.5,-21.0
DC21-114,white,100.0,47.2,77.2,-20.8
DC21-201,black,0.5,8.8,-0.3,1.0
DC21-201,black,1.0,8.8,-0.4,1.4
DC21-201,black,2.0,9.2,-0.5,1.6
DC21-201,black,4.0,9.4,-1.0,3.1
DC21-201,black,8.0,10.3,-1.7,5.1
DC21-201,black,16.0,11.7,-2.2,7.9
DC21-201,black,32.0,13.7,-2.3,12.2
DC21-201,black,64.0,15.9,-0.4,16.4
DC21-201,black,80.0,16.2,0.8,17.3
DC21-201,black,100.0,15.9,1.6,17.3
DC21-201,white,0.5,92.1,1.3,4.6
DC21-201,white,1.0,91.1,3.0,7.5
DC21-201,white,2.0,89.3,5.8,12.5
DC21-201,white,4.0,86.8,10.4,19.9
DC21-201,white,8.0,82.9,17.5,31.1
DC21-201,white,16.0,78.4,26.2,45.7
DC21-201,white,32.0,73.0,37.2,66.6
DC21-201,white,64.0,67.9,47.8,88.3
DC21-201,white,80.0,66.3,51.2,94.6
DC21-201,white,100.0,65.2,52.4,95.2
DC21-304,black,0.5,8.8,-0.3,0.9
DC21-304,black,1.0,8.9,-0.6,1.2
DC21-304,black,2.0,8.9,-1.1,1.8
DC21-304,black,4.0,9.5,-2.0,2.3
DC21-304,black,8.0,10.5,-3.8,3.6
DC21-304,black,16.0,12.5,-7.1,5.9
DC21-304,black,32.0,16.2,-12.7,10.9
DC21-304,black,64.0,21.7,-19.3,18.5
DC21-304,black,80.0,23.9,-21.5,21.6
DC21-304,black,100.0,25.9,-22.9,24.2
DC21-304,white,0.5,93.1,-2.0,5.1
DC21-304,white,1.0,93.0,-3.0,8.3
DC21-304,white,2.0,92.8,-4.6,14.0
DC21-304,white,4.0,92.3,-7.1,24.2
DC21-304,white,8.0,91.7,-9.8,37.9
DC21-304,white,16.0,91.0,-11.9,55.4
DC21-304,white,32.0,90.0,-13.1,80.1
DC21-304,white,64.0,89.3,-11.6,98.3
DC21-304,white,80.0,88.6,-10.7,110.3
DC21-304,white,100.0,88.0,-9.9,112.2
DC21-402,black,0.5,8.6,-0.3,1.0
DC21-402,black,1.0,8.6,-0.3,0.7
DC21-402,black,2.0,8.5,-0.6,0.6
DC21-402,black,4.0,8.3,-1.0,0.3
DC21-402,black,8.0,7.9,-1.7,-0.3
DC21-402,black,16.0,7.5,-2.7,-1.4
DC21-402,black,32.0,6.8,-4.0,-3.5
DC21-402,black,64.0,5.9,-4.7,-5.2
DC21-402,black,80.0,5.5,-5.1,-5.6
DC21-402,black,100.0,5.8,-5.4,-5.8
